"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1582816,"December 29, 2019",Illinois,Danville,"1803 block of Westview Ave",0,5,N/A
1582197,"December 29, 2019","New York",Buffalo,"50 block of Henrietta Ave",1,3,N/A
1583444,"December 29, 2019",California,Ceres,"800 block of Allacante Dr",0,5,N/A
1581590,"December 27, 2019",California,Modesto,"1900 block of Vernon Ave",1,3,N/A
1581103,"December 27, 2019",Texas,Houston,"500 block of Smart St",2,7,N/A
1581476,"December 27, 2019",Georgia,Kennesaw,"1575 Ridenour Pkwy NW",0,4,N/A
1580308,"December 26, 2019",Florida,"Saint Petersburg","4300 6th St S",0,5,N/A
1579889,"December 25, 2019",California,Oakland,"2100 block of 34th Ave",0,4,N/A
1579970,"December 25, 2019",Iowa,Coralville,"954 Boston Way",1,3,N/A
1579856,"December 25, 2019",Virginia,Richmond,"1800 E Main St",1,3,N/A
1579266,"December 24, 2019",Louisiana,"New Orleans","6400 block of General Meyer Ave",0,4,N/A
1594317,"December 24, 2019",Illinois,Joliet,"1200 block of Cutter Ave",0,5,N/A
1579220,"December 24, 2019","North Carolina","High Point","1226 Montlieu Ave",0,6,N/A
1577577,"December 22, 2019",Maryland,Baltimore,"225 Park Ave",0,7,N/A
1577688,"December 22, 2019",Minnesota,"Minneapolis (Spring Lake Park)","8407 Plaza Blvd NE",1,7,N/A
1577518,"December 22, 2019",Illinois,Chicago,"5700 block of S May St",0,13,N/A
1578711,"December 21, 2019",Louisiana,Edgard,"2555 LA-18",0,4,N/A
1577046,"December 20, 2019",Mississippi,Waynesboro,"Turner St",1,6,N/A
1577438,"December 20, 2019",Alabama,Tuskegee,"2900 block of Davison St",2,2,N/A
1575175,"December 18, 2019",Texas,"San Antonio","2418 SW Military Dr",0,4,N/A
1573754,"December 17, 2019",Montana,"Great Falls","1701 10th Ave S",4,1,N/A
1572275,"December 15, 2019",Georgia,Columbus,"600 block of 32nd St",1,4,N/A
1573471,"December 14, 2019",California,Ivanhoe,"15700 block of Paradise Ave",0,4,N/A
1571348,"December 12, 2019",Missouri,"Saint Louis (Moline Acres)","9900 block of Lewis and Clark Blvd",1,3,N/A
1568230,"December 10, 2019","New Jersey","Jersey City","223 Martin Luther King Dr",6,3,N/A
1567932,"December 8, 2019",Texas,Desoto,"200 block of W Wintergreen Rd",2,3,N/A
1567231,"December 8, 2019",Louisiana,"New Orleans","3801 Washington Ave",1,4,N/A
1565216,"December 6, 2019",Florida,Pensacola,"280 Taylor Rd",4,8,N/A
1564524,"December 4, 2019",Alabama,Montgomery,"500 Eastdale Rd S",2,2,N/A
1562043,"December 1, 2019",Louisiana,"Cotton Valley","116 Hawthorne Loop",2,3,N/A
1561966,"December 1, 2019",Louisiana,"New Orleans","2000 block of N Dorgenois St",2,2,N/A
1561813,"December 1, 2019",Illinois,Aurora,"700 block of S 5th St",1,4,N/A
1562685,"December 1, 2019",Michigan,Kalamazoo,"6300 block of Proctor St",1,3,N/A
1561734,"December 1, 2019",Louisiana,"New Orleans","700 block of Canal St",0,12,N/A
1561398,"November 30, 2019",Arkansas,Hensley,"6500 block of E Sardis Rd",0,5,N/A
1560645,"November 29, 2019",Texas,Amarillo,"2650 Dumas Dr",0,7,N/A
1559257,"November 27, 2019","New York",Bronx,"E 153rd St and Courtlandt Ave",0,5,N/A
1558067,"November 25, 2019",Florida,Brownsville,"NW 29th Ave and 44th St",2,2,N/A
1557006,"November 24, 2019",Alabama,Birmingham,"7 15th St W",1,4,N/A
1556633,"November 24, 2019",California,"Los Angeles","100 block of E 11th St",0,6,N/A
1556984,"November 24, 2019",Louisiana,Cottonport,"3846 LA-29",2,2,N/A
1555879,"November 23, 2019",California,"Los Angeles","833 S Spring St",0,4,N/A
1556002,"November 23, 2019",Louisiana,Tallulah,"Depot St",1,6,N/A
1555135,"November 21, 2019",California,"Long Beach","1100 block of 10th St",0,5,N/A
1554807,"November 21, 2019",Washington,Everett,"120 West Casino Rd",0,4,N/A
1554446,"November 20, 2019",California,Richmond,"20th St and Roosevelt Ave",0,4,N/A
1552068,"November 18, 2019","New Jersey",Newark,"139 S 8th St",1,4,N/A
1551531,"November 17, 2019",California,Fresno,"5361 E Lamona Ave",4,6,N/A
1551162,"November 17, 2019",Ohio,Cleveland,"7100 block of Lawn Ave",0,4,N/A
1550546,"November 16, 2019",California,"San Diego","2152 Flintridge Dr",6,0,N/A
1548689,"November 14, 2019",California,"Santa Clarita","21900 Centurion Way",3,3,N/A
1547021,"November 11, 2019",Florida,"Belle Glade","SW 7th St",0,4,N/A
1546102,"November 10, 2019",Missouri,"Kansas City","4704 Independence Ave",0,4,N/A
1546038,"November 10, 2019",Tennessee,Memphis,"2080 E. Brooks Rd",1,4,N/A
1546155,"November 10, 2019",Arkansas,"Little Rock","3000 block of W 12th St",0,4,N/A
1545955,"November 9, 2019",Michigan,Detroit,"3800 block of E McNichols Rd",0,4,N/A
1546508,"November 9, 2019",Georgia,Vidalia,"Wiggins St",0,4,N/A
1545027,"November 8, 2019","North Carolina",Raleigh,"503 Bragg St",1,3,N/A
1543835,"November 7, 2019",Georgia,Conyers,"1800 block of Green St",2,3,N/A
1541774,"November 4, 2019",Texas,Houston,"5000 block of Northridge Dr",1,4,N/A
1540863,"November 3, 2019",Ohio,Toledo,"600 block of Magnolia St",0,4,N/A
1540841,"November 3, 2019",Texas,Nacogdoches,"Sandyland Cir and CR 823",1,3,N/A
1540280,"November 2, 2019",Louisiana,"Baton Rouge","137 Taylor St",0,4,N/A
1540240,"November 2, 2019",Michigan,Detroit,"7000 block of E. Kirby",1,4,N/A
1539572,"November 1, 2019",Arizona,Tolleson,"2434 S 86th Ln",0,5,N/A
1539557,"November 1, 2019",Texas,"San Angelo","1616 S Chadbourne St",0,4,N/A
1539347,"October 31, 2019",California,Orinda,"114 Lucille Way",5,3,N/A
1537992,"October 30, 2019",Pennsylvania,Philadelphia,"5026 Walton Ave",4,0,N/A
1537044,"October 29, 2019",Maryland,Baltimore,"4700 block of Liberty Heights Ave",1,3,N/A
1537672,"October 29, 2019",California,"Long Beach","2709 E 7th St",3,9,N/A
1536787,"October 28, 2019",Maryland,Baltimore,"4160 Pimlico Rd",1,3,N/A
1536706,"October 27, 2019",Michigan,Detroit,"East Outer Dr and Helen St",0,4,N/A
1535629,"October 27, 2019",Michigan,Lansing,"Balfour Dr and W Miller Rd",1,4,N/A
1535478,"October 26, 2019",Texas,Greenville,"2275 US-380",2,6,N/A
1534704,"October 24, 2019",Oklahoma,"Oklahoma City","1900 block of NW 12th St",2,2,N/A
1533166,"October 22, 2019",Oklahoma,"Oklahoma City (Midwest City)","7020 E Green Ave",1,3,N/A
1531326,"October 21, 2019","South Carolina",Sumter,"29 Wesmark Blvd",0,4,N/A
1530965,"October 20, 2019",Texas,"Port Arthur","1100 block of Vicksburg Ave",1,3,N/A
1530407,"October 19, 2019",Pennsylvania,Duquesne,"600 block of Priscilla Ave",0,4,N/A
1530276,"October 19, 2019",Texas,"El Paso","3812 Truman Ave",1,4,N/A
1527528,"October 15, 2019",Ohio,Columbus,"1600 block of Manchester Ave",0,4,N/A
1525999,"October 13, 2019",Pennsylvania,Philadelphia,"W Clearfield St and N 8th St",0,6,N/A
1526952,"October 13, 2019",Ohio,Akron,"Main St",0,4,N/A
1525062,"October 12, 2019","New York",Brooklyn,"75 Utica Ave",4,3,N/A
1525476,"October 12, 2019",Illinois,Chicago,"6733 W Irving Park Rd",5,0,N/A
1525408,"October 12, 2019",Pennsylvania,Philadelphia,"700 block of W Russell St",1,3,N/A
1525628,"October 12, 2019",Maryland,Baltimore,"800 block of W Lexington St",1,3,N/A
1525265,"October 12, 2019",Michigan,Eastpointe,"15163 E 10 Mile Rd",1,5,N/A
1523606,"October 10, 2019",Florida,Tampa,"5410 N Falkenburg Rd",2,2,N/A
1524264,"October 10, 2019",Pennsylvania,Philadelphia,"900 block of S 5th St",0,5,N/A
1522979,"October 9, 2019",Massachusetts,Lowell,"149 Ennell Street",0,5,N/A
1523204,"October 9, 2019",Maryland,Baltimore,"1600 block of W North Ave",1,3,N/A
1521226,"October 7, 2019",Massachusetts,Abington,"135 Centre Ave",5,0,N/A
1520425,"October 6, 2019",Indiana,Evansville,"1127 Chestnut St",0,5,N/A
1520499,"October 6, 2019",Colorado,Denver,"7100 block of Ruth Way",0,4,N/A
1520330,"October 6, 2019",Kansas,"Kansas City","1013 Central Ave",4,5,N/A
1520547,"October 5, 2019",Missouri,"Saint Louis","10035 Crown Point Dr",0,5,N/A
1519090,"October 3, 2019","North Carolina",Roxboro,"700 South Foushee St",1,3,N/A
1518859,"October 3, 2019",Missouri,Marshall,"S Olson Ave",1,3,N/A
1517804,"October 1, 2019",Missouri,"Saint Louis","Leonor K. Sullivan Blvd and Poplar St",0,4,N/A
1515312,"September 29, 2019",Illinois,"Round Lake (Round Lake Park)","500 block of Fairlawn Ave",1,3,N/A
1515242,"September 29, 2019",Wisconsin,Milwaukee,"1500 block of N 29th St",0,4,N/A
1515128,"September 29, 2019",Florida,Jacksonville,"2200 block of Clemente Dr",0,4,N/A
1517360,"September 29, 2019",Kansas,Claflin,"1500 block of NE 100th Rd",0,4,N/A
1515327,"September 29, 2019",Texas,Beaumont,"4100 block of Highland Ave",4,0,N/A
1511999,"September 24, 2019",Illinois,Chicago,"2000 block of South Hoyne Ave",1,3,N/A
1510411,"September 23, 2019",Indiana,Gary,"1600 block of Connecticut St",2,2,N/A
1509721,"September 22, 2019",Missouri,"Kansas City","2111 Television Plaza",0,5,N/A
1509411,"September 21, 2019",Louisiana,"New Orleans","Poland Ave and St. Claude Ave",0,4,N/A
1508804,"September 21, 2019","South Carolina",Lancaster,"1399 Old Charlotte Rd",2,8,N/A
1509510,"September 21, 2019",Indiana,Indianapolis,"101 W Maryland St",0,6,N/A
1512486,"September 21, 2019",Ohio,Cleveland,"3616 East 144th St",4,0,N/A
1508859,"September 20, 2019",Louisiana,"New Orleans","Canal Blvd and City Park Ave",1,5,N/A
1507939,"September 19, 2019","District of Columbia",Washington,"1300 block of Columbia Rd NW",1,5,N/A
1507156,"September 18, 2019",Illinois,Chicago,"4200 block of W Madison St",3,1,N/A
1507092,"September 18, 2019",California,Wilmington,"800 block of Bayview Ave",2,2,N/A
1505354,"September 16, 2019",Wyoming,Cheyenne,"3436 E 11th St",2,2,N/A
1504030,"September 14, 2019",Missouri,"Saint Louis","5200 block of Tennessee Ave",1,3,N/A
1504012,"September 14, 2019",California,Oakland,"38th Ave and MacArthur Blvd",1,4,N/A
1504387,"September 14, 2019",Georgia,Lagrange,"1400 block of Elm St",0,4,N/A
1503207,"September 12, 2019","New Mexico",Albuquerque,"1919 Ladera Dr NW",1,4,N/A
1503192,"September 12, 2019","New Mexico",Albuquerque,"1028 Lura Pl SW",4,2,N/A
1501350,"September 10, 2019",Illinois,Chicago,"2200 block of W Maypole Ave",0,4,N/A
1499460,"September 8, 2019","South Carolina",Sumter,"1083 Broad St",2,2,N/A
1500098,"September 8, 2019",Louisiana,Alexandria,"2900 block of Cypress St",1,3,N/A
1499300,"September 7, 2019","North Carolina",Whiteville,"Brittany Ln",3,1,N/A
1497180,"September 4, 2019",Florida,Jacksonville,"400 W 62nd St",0,4,N/A
1497702,"September 4, 2019",Louisiana,Marrero,"3044 Sorbonne Dr",2,2,N/A
1494697,"September 2, 2019","North Carolina",Greensboro,"5528 W Market St",2,2,N/A
1495141,"September 2, 2019",Illinois,Chicago,"6200 block of S King Dr",0,4,N/A
1495192,"September 2, 2019",Alabama,Elkmont,"25019 Ridge Road",5,0,N/A
1494113,"September 1, 2019",Connecticut,Hartford,"80 Edgewood St",1,3,N/A
1494669,"September 1, 2019","North Carolina","Rocky Mount","521 Country Club Road",0,4,N/A
1494548,"September 1, 2019",Alabama,Valley,"502 Boulevard",0,7,N/A
1493374,"September 1, 2019",Ohio,Toledo,"3257 Stickney Ave",0,4,N/A
1492778,"August 31, 2019","North Carolina",Charlotte,"10035 Dabney Dr",1,3,N/A
1492377,"August 31, 2019","South Carolina","Moncks Corner","336 Maplewood Rd",0,4,N/A
1492441,"August 31, 2019",Texas,Odessa,"8250 TX 191",8,23,N/A
1492264,"August 31, 2019",Pennsylvania,Philadelphia,"4600 block of 4th St",2,2,N/A
1493429,"August 31, 2019",Maryland,Baltimore,"900 block of N Monroe St",0,4,N/A
1492297,"August 31, 2019",Maryland,Frederick,"600 block of N Market St",0,4,N/A
1493038,"August 31, 2019",Illinois,Chicago,"7100 block of S Paulina St",2,3,N/A
1492087,"August 30, 2019",Alabama,Mobile,"1621 Virginia St",0,6,N/A
1491495,"August 30, 2019",Maryland,Baltimore,"1600 block of E 29th St",1,3,N/A
1490466,"August 29, 2019",Maryland,Baltimore,"2500 block of E Monument St",1,3,N/A
1487729,"August 25, 2019","New Mexico",Hobbs,"1700 block of E Bond St",3,4,N/A
1487573,"August 25, 2019",Illinois,Chicago,"8200 block of S Maryland Ave",1,3,N/A
1487356,"August 24, 2019",Maryland,"Temple Hills (Camp Springs)","6200 block of Maxwell Dr",0,7,N/A
1487224,"August 24, 2019",Massachusetts,Lynn,"Warren Street",1,3,N/A
